category,headline,short_description,content
Business,Authenticity Offers Its Own Beauty,Authenticity is what turns a pretty picture into a priceless work of art. Likewise it is what people look for -- or should -- in their personal relationships. I believe this holds true for our relationships with businesses as well.,Authenticity Offers Its Own Beauty Authenticity is what turns a pretty picture into a priceless work of art. Likewise it is what people look for -- or should -- in their personal relationships. I believe this holds true for our relationships with businesses as well.
Sports,LIVE: Argentina Takes On Bosnia-Herz.,,LIVE: Argentina Takes On Bosnia-Herz. 
Tech,Uber Fires Self-Driving Car Chief At Center Of Court Case,Anthony Levandowski is at the center of a legal battle between Uber and Waymo.,Uber Fires Self-Driving Car Chief At Center Of Court Case Anthony Levandowski is at the center of a legal battle between Uber and Waymo.
Tech,Don’t Blame The Batteries For Every Lithium-Ion Explosion,By Tim Moynihan for WIRED. Lithium-ion batteries have been making headlines for all the wrong reasons. The latest marquee,Don’t Blame The Batteries For Every Lithium-Ion Explosion By Tim Moynihan for WIRED. Lithium-ion batteries have been making headlines for all the wrong reasons. The latest marquee
Health,Losing Weight: You Can Gut It Out,"The evidence is mounting: Get your gut back to equilibrium, and health will follow. But how does one go about this, exactly?","Losing Weight: You Can Gut It Out The evidence is mounting: Get your gut back to equilibrium, and health will follow. But how does one go about this, exactly?"
Politics,Want Your Tubes Tied At A Catholic Hospital? Try Threatening To Sue.,Mercy Medical Center denied one woman's request to be sterilized after giving birth.,Want Your Tubes Tied At A Catholic Hospital? Try Threatening To Sue. Mercy Medical Center denied one woman's request to be sterilized after giving birth.
Politics,The Forgotten People Of The Forever War,"KABUL, Afghanistan – American pundits moan about the longest war in U.S. history – as the Afghanistan conflict rumbles into","The Forgotten People Of The Forever War KABUL, Afghanistan – American pundits moan about the longest war in U.S. history – as the Afghanistan conflict rumbles into"
Entertainment,All Indians Ask Is for America to Honor Our Treaties,"Can't the average American understand that it is not an honor to have our culture stolen, mimicked and insulted by fanatical football and baseball fans? We are not, and have never been ""Redskins.""","All Indians Ask Is for America to Honor Our Treaties Can't the average American understand that it is not an honor to have our culture stolen, mimicked and insulted by fanatical football and baseball fans? We are not, and have never been ""Redskins."""
Health,Does Your Love Have a Place to Land?  5 Basic Steps to the Cure,"When it comes to expressing the truth in our heart, love cannot be commissioned.  Love cannot be purchased.  Love must have an open space, a safe place in which to land, tell its truth, and have room to breathe without demands or the need for defense.","Does Your Love Have a Place to Land?  5 Basic Steps to the Cure When it comes to expressing the truth in our heart, love cannot be commissioned.  Love cannot be purchased.  Love must have an open space, a safe place in which to land, tell its truth, and have room to breathe without demands or the need for defense."
Politics,Dozens Of Young Women Killed In Crash Before Swaziland Royal Ceremony,Thousands of women descend on the royal residence for the festival each year.,Dozens Of Young Women Killed In Crash Before Swaziland Royal Ceremony Thousands of women descend on the royal residence for the festival each year.
Entertainment,"Chrissy Teigen Posts Adorable First Photo Of Her Daughter, Luna Simone",She's so tiny!,"Chrissy Teigen Posts Adorable First Photo Of Her Daughter, Luna Simone She's so tiny!"
Business,Phil Mickelson Agrees To Pay Back Money He Made In Connection With Insider Trading Ring,The golfer isn't facing any criminal charges.,Phil Mickelson Agrees To Pay Back Money He Made In Connection With Insider Trading Ring The golfer isn't facing any criminal charges.
Health,Terror Management Theory and the Boston Marathon Tragedy,"Americans all feel closer to the city of Boston. Even Yankees fans can put aside their rivalry in the face of tragedy. Why do we feel closer to others in times of crisis? There is a prominent framework in social psychology called ""terror management theory"" that helps us to understand this behavior.","Terror Management Theory and the Boston Marathon Tragedy Americans all feel closer to the city of Boston. Even Yankees fans can put aside their rivalry in the face of tragedy. Why do we feel closer to others in times of crisis? There is a prominent framework in social psychology called ""terror management theory"" that helps us to understand this behavior."
Entertainment,"You've Just Been Slammed, Slam Poetry",This spoof is your verse enemy.,"You've Just Been Slammed, Slam Poetry This spoof is your verse enemy."
Tech,Don't Let This Pile Of Pasta Fool You.. It's Alive!,"The ""flying spaghetti monster"" is actually a complex colony of zooids.","Don't Let This Pile Of Pasta Fool You.. It's Alive! The ""flying spaghetti monster"" is actually a complex colony of zooids."
Entertainment,The Waiting Game in the Music Industry,"It was during this conversation that I witnessed Spencer's eyes sparkle in a different way. For him, he knew that he had ability and some talent. He also knew he wasn't a prodigy. For Spencer, he came to understand that this mentor was talking about the layaway plan.","The Waiting Game in the Music Industry It was during this conversation that I witnessed Spencer's eyes sparkle in a different way. For him, he knew that he had ability and some talent. He also knew he wasn't a prodigy. For Spencer, he came to understand that this mentor was talking about the layaway plan."
Health,"Fit Links: The Introvert's Guide To Exercise, How Your Fridge Can Help You Lose Weight And More","There are hundreds of wonderful sites on healthy living to be seen all over the blogosphere. Here at Fit Links, we'll introduce","Fit Links: The Introvert's Guide To Exercise, How Your Fridge Can Help You Lose Weight And More There are hundreds of wonderful sites on healthy living to be seen all over the blogosphere. Here at Fit Links, we'll introduce"
Politics,Mitch McConnell Has No Thoughts On Trump Suggesting 'Civil War' Over His Impeachment,"The president also is throwing the word ""treason"" around a lot. NBD!","Mitch McConnell Has No Thoughts On Trump Suggesting 'Civil War' Over His Impeachment The president also is throwing the word ""treason"" around a lot. NBD!"
Politics,Bono's ONE Campaign Urges Congress To Increase Foreign Aid To Fight Extremism,"The anti-poverty group says assistance today will ""help prevent humanitarian crises tomorrow.""","Bono's ONE Campaign Urges Congress To Increase Foreign Aid To Fight Extremism The anti-poverty group says assistance today will ""help prevent humanitarian crises tomorrow."""
Politics,Donald Trump Extols A Tax Reform Plan With A Deficit Of Facts,The president pitches his tax plan to the truckers and business owners gathered at his Pennsylvania stop.,Donald Trump Extols A Tax Reform Plan With A Deficit Of Facts The president pitches his tax plan to the truckers and business owners gathered at his Pennsylvania stop.
